ŝovi	ŝov'i
ŝovis	ŝov'is
ŝovo	ŝov'o
ŝovon	ŝov'o'n
ŝovu	ŝov'u
ŝovante	ŝov'ant'e
ŝoviĝas	ŝov'iĝ'as
ŝoviĝis	ŝov'iĝ'is
ŝoviĝo	ŝov'iĝ'o
ŝoviĝon	ŝov'iĝ'o'n
ŝovinte	ŝov'int'e
ŝovita	ŝov'it'a
ŝoveli	ŝovel'i
ŝovelis	ŝovel'is
ŝovelilo	ŝovel'il'o
ŝoveliloj	ŝovel'il'o'j
ŝovelilojn	ŝovel'il'o'j'n
ŝovelilon	ŝovel'il'o'n
ŝovinisma	ŝovinism'a
ŝovinismo	ŝovinism'o
ŝovinismon	ŝovinism'o'n
ŝovinisto	ŝovinist'o
ŝparas	ŝpar'as
ŝpari	ŝpar'i
ŝparis	ŝpar'is
ŝparo	ŝpar'o
ŝparoj	ŝpar'o'j
ŝparojn	ŝpar'o'j'n
ŝparon	ŝpar'o'n
ŝparos	ŝpar'os
ŝparu	ŝpar'u
ŝparus	ŝpar'us
ŝparado	ŝpar'ad'o
ŝparadoj	ŝpar'ad'o'j
ŝparadojn	ŝpar'ad'o'j'n
ŝparadon	ŝpar'ad'o'n
ŝparaĵoj	ŝpar'aĵ'o'j
ŝparaĵojn	ŝpar'aĵ'o'j'n
ŝparante	ŝpar'ant'e
ŝparema	ŝpar'em'a
ŝparemaj	ŝpar'em'a'j
ŝpareme	ŝpar'em'e
ŝparemo	ŝpar'em'o
ŝparigas	ŝpar'ig'as
ŝparita	ŝpar'it'a
ŝparitaj	ŝpar'it'a'j
ŝparitan	ŝpar'it'a'n
ŝparkaso	ŝpar'kas'o
ŝparmono	ŝpar'mon'o
ŝparmonon	ŝpar'mon'o'n
ŝparporciigo	ŝpar'porci'ig'o
ŝpato	ŝpat'o
ŝpinas	ŝpin'as
ŝpini	ŝpin'i
ŝpinis	ŝpin'is
ŝpinado	ŝpin'ad'o
ŝpinita	ŝpin'it'a
ŝpinrado	ŝpin'rad'o
ŝprucas	ŝpruc'as
ŝpruci	ŝpruc'i
ŝprucis	ŝpruc'is
ŝpruco	ŝpruc'o
ŝprucoj	ŝpruc'o'j
ŝprucado	ŝpruc'ad'o
