sabata	sabat'a
stratetojn	strat'et'o'j'n
strateton	strat'et'o'n
stratkanaletoj	strat'kanal'et'o'j
stratkomercistoj	strat'komerc'ist'o'j
stratlampoj	strat'lamp'o'j
stratnivelo	strat'nivel'o
stratnomoj	strat'nom'o'j
stratovulkano	strat'o'vulkan'o
strattrafiko	strat'trafik'o
stratveturiloj	strat'vetur'il'o'j
stratvido	strat'vid'o
strategia	strateg'i'a
strategiaj	strateg'i'a'j
strategiajn	strateg'i'a'j'n
strategian	strateg'i'a'n
strategie	strateg'i'e
strategio	strateg'i'o
strategioj	strateg'i'o'j
strategiojn	strateg'i'o'j'n
strategion	strateg'i'o'n
strategiisto	strateg'i'ist'o
strategiistoj	strateg'i'ist'o'j
strategiludoj	strateg'i'lud'o'j
stratigrafio	stratigraf'i'o
stratosfera	stratosfer'a
stratosfero	stratosfer'o
stratosferon	stratosfer'o'n
stratumo	stratum'o
strebas	streb'as
strebe	streb'e
strebi	streb'i
strebis	streb'is
strebo	streb'o
streboj	streb'o'j
strebojn	streb'o'j'n
strebon	streb'o'n
strebos	streb'os
strebu	streb'u
strebus	streb'us
strebadis	streb'ad'is
strebado	streb'ad'o
strebadoj	streb'ad'o'j
strebadojn	streb'ad'o'j'n
strebadon	streb'ad'o'n
strebanta	streb'ant'a
strebantaj	streb'ant'a'j
strebante	streb'ant'e
streĉa	streĉ'a
streĉaj	streĉ'a'j
streĉajn	streĉ'a'j'n
streĉan	streĉ'a'n
streĉas	streĉ'as
streĉe	streĉ'e
streĉi	streĉ'i
streĉis	streĉ'is
streĉo	streĉ'o
streĉoj	streĉ'o'j
streĉojn	streĉ'o'j'n
streĉon	streĉ'o'n
streĉos	streĉ'os
streĉu	streĉ'u
streĉado	streĉ'ad'o
streĉadoj	streĉ'ad'o'j
streĉadon	streĉ'ad'o'n
streĉanta	streĉ'ant'a
streĉantaj	streĉ'ant'a'j
streĉante	streĉ'ant'e
streĉata	streĉ'at'a
streĉeco	streĉ'ec'o
streĉiĝas	streĉ'iĝ'as
streĉiĝis	streĉ'iĝ'is
streĉiĝo	streĉ'iĝ'o
streĉiĝoj	streĉ'iĝ'o'j
streĉiĝojn	streĉ'iĝ'o'j'n
streĉiĝon	streĉ'iĝ'o'n
streĉinte	streĉ'int'e
streĉita	streĉ'it'a
streĉitaj	streĉ'it'a'j
streĉitajn	streĉ'it'a'j'n
streĉitan	streĉ'it'a'n
streĉite	streĉ'it'e
streĉiteco	streĉ'it'ec'o
streĉitecoj	streĉ'it'ec'o'j
streĉitecojn	streĉ'it'ec'o'j'n
streĉitecon	streĉ'it'ec'o'n
strekaj	strek'a'j
strekas	strek'as
streki	strek'i
strekis	strek'is
streko	strek'o
strekoj	strek'o'j
strekojn	strek'o'j'n
strekon	strek'o'n
streketo	strek'et'o
streketoj	strek'et'o'j
streketon	strek'et'o'n
strekita	strek'it'a
stresa	stres'a
stresas	stres'as
streso	stres'o
stresoj	stres'o'j
stresojn	stres'o'j'n
streson	stres'o'n
stresigis	stres'ig'is
stresigita	stres'ig'it'a
stresigitaj	stres'ig'it'a'j
stresitaj	stres'it'a'j
stresmalsano	stres'mal'san'o
stria	stri'a
striaj	stri'a'j
strii	stri'i
strio	stri'o
strioj	stri'o'j
striojn	stri'o'j'n
strion	stri'o'n
striado	stri'ad'o
striata	stri'at'a
strieca	stri'ec'a
striecaj	stri'ec'a'j
striecajn	stri'ec'a'j'n
striecan	stri'ec'a'n
strieco	stri'ec'o
striecon	stri'ec'o'n
strieto	stri'et'o
strietoj	stri'et'o'j
striita	stri'it'a
striitaj	stri'it'a'j
striitajn	stri'it'a'j'n
striitan	stri'it'a'n
strizono	stri'zon'o
striata	striat'a
strida	strid'a
stridan	strid'a'n
strigo	strig'o
strigoj	strig'o'j
strigon	strig'o'n
strikas	strik'as
strike	strik'e
striki	strik'i
strikis	strik'is
striko	strik'o
strikoj	strik'o'j
strikojn	strik'o'j'n
strikon	strik'o'n
strikantaj	strik'ant'a'j
strikantoj	strik'ant'o'j
strikisto	strik'ist'o
strikistoj	strik'ist'o'j
strikta	strikt'a
striktaj	strikt'a'j
striktajn	strikt'a'j'n
striktan	strikt'a'n
strikte	strikt'e
striktasence	strikt'a'senc'e
strikteco	strikt'ec'o
stringas	string'as
stringis	string'is
strobilo	strobil'o
strobiloj	strobil'o'j
strobilforma	strobil'form'a
strofo	strof'o
strofoj	strof'o'j
strofojn	strof'o'j'n
strofon	strof'o'n
struktura	struktur'a
strukturaj	struktur'a'j
strukturajn	struktur'a'j'n
strukturan	struktur'a'n
strukturas	struktur'as
strukture	struktur'e
strukturi	struktur'i
strukturis	struktur'is
strukturo	struktur'o
strukturoj	struktur'o'j
strukturojn	struktur'o'j'n
strukturon	struktur'o'n
strukturado	struktur'ad'o
strukturismo	struktur'ism'o
strukturita	struktur'it'a
strukturitaj	struktur'it'a'j
strukturitajn	struktur'it'a'j'n
strukturitan	struktur'it'a'n
strutaj	strut'a'j
struto	strut'o
strutoj	strut'o'j
strutoformaj	strut'o'form'a'j
studa	stud'a
studaj	stud'a'j
studan	stud'a'n
studas	stud'as
studi	stud'i
studis	stud'is
studo	stud'o
studoj	stud'o'j
studojn	stud'o'j'n
studon	stud'o'n
studos	stud'os
studu	stud'u
studus	stud'us
studadas	stud'ad'as
studadi	stud'ad'i
studadis	stud'ad'is
studado	stud'ad'o
studadoj	stud'ad'o'j
studadon	stud'ad'o'n
studaĵo	stud'aĵ'o
studaĵoj	stud'aĵ'o'j
studanta	stud'ant'a
studantaj	stud'ant'a'j
studante	stud'ant'e
studanto	stud'ant'o
studantoj	stud'ant'o'j
studantojn	stud'ant'o'j'n
studanton	stud'ant'o'n
studantino	stud'ant'in'o
studaro	stud'ar'o
studata	stud'at'a
studataj	stud'at'a'j
studejo	stud'ej'o
studema	stud'em'a
studfako	stud'fak'o
studfakoj	stud'fak'o'j
studfakon	stud'fak'o'n
studgrupo	stud'grup'o
studinda	stud'ind'a
studinta	stud'int'a
studintaj	stud'int'a'j
studinte	stud'int'e
studintus	stud'int'us
studita	stud'it'a
studitaj	stud'it'a'j
studjaro	stud'jar'o
studjaroj	stud'jar'o'j
studjarojn	stud'jar'o'j'n
studjaron	stud'jar'o'n
studmaterialo	stud'material'o
studobjekto	stud'objekt'o
studobjektoj	stud'objekt'o'j
studobjekton	stud'objekt'o'n
studprogramo	stud'program'o
studprogramoj	stud'program'o'j
studprogramojn	stud'program'o'j'n
studprogramon	stud'program'o'n
studrondo	stud'rond'o
studrondoj	stud'rond'o'j
studuloj	stud'ul'o'j
studenta	student'a
studentaj	student'a'j
studentajn	student'a'j'n
studentan	student'a'n
studento	student'o
studentoj	student'o'j
studentojn	student'o'j'n
studenton	student'o'n
studentaro	student'ar'o
studentaron	student'ar'o'n
studentgrupoj	student'grup'o'j
studentiĝis	student'iĝ'is
studentiĝado	student'iĝ'ad'o
studentino	student'in'o
studentinoj	student'in'o'j
studentinojn	student'in'o'j'n
studentorganizoj	student'organiz'o'j
studentregistaro	student'reg'ist'ar'o
studentsindikato	student'sindikat'o
studentunuiĝo	student'unu'iĝ'o
studentvivo	student'viv'o
studia	studi'a
studiaj	studi'a'j
studio	studi'o
studioj	studi'o'j
studiojn	studi'o'j'n
studion	studi'o'n
stufaĵo	stuf'aĵ'o
stufaĵoj	stuf'aĵ'o'j
stuka	stuk'a
stuko	stuk'o
stukoj	stuk'o'j
stulta	stult'a
stultaj	stult'a'j
stultajn	stult'a'j'n
stultan	stult'a'n
stultas	stult'as
stulte	stult'e
stultis	stult'is
stulto	stult'o
stulton	stult'o'n
stultajho	stult'aĵ'o
stultaĵo	stult'aĵ'o
stultaĵoj	stult'aĵ'o'j
stultaĵojn	stult'aĵ'o'j'n
stultaĵon	stult'aĵ'o'n
stulteco	stult'ec'o
stultecon	stult'ec'o'n
stultega	stult'eg'a
stultigas	stult'ig'as
stultigis	stult'ig'is
stultulo	stult'ul'o
stultuloj	stult'ul'o'j
stultulojn	stult'ul'o'j'n
stultulon	stult'ul'o'n
stultulaĉo	stult'ul'aĉ'o
stultulino	stult'ul'in'o
stultumi	stult'um'i
stumblas	stumbl'as
stumble	stumbl'e
stumbli	stumbl'i
stumblis	stumbl'is
stumbloj	stumbl'o'j
stumblos	stumbl'os
stumblante	stumbl'ant'e
stumpa	stump'a
stumpo	stump'o
stumpoj	stump'o'j
stumpeto	stump'et'o
stumpigita	stump'ig'it'a
stumpigitaj	stump'ig'it'a'j
stupo	stup'o
stupao	stupa'o
stupaoj	stupa'o'j
stuporo	stupor'o
stuporiĝis	stupor'iĝ'is
sturgo	sturg'o
sturmas	sturm'as
sturmi	sturm'i
sturmis	sturm'is
sturmo	sturm'o
sturmon	sturm'o'n
sturno	sturn'o
sturnoj	sturn'o'j
sturnedoj	sturn'ed'o'j
sub	sub
suba	sub'a
subaj	sub'a'j
subajn	sub'a'j'n
suban	sub'a'n
sube	sub'e
suben	sub'e'n
subo	sub'o
subaĉeti	sub'aĉet'i
subaĉetis	sub'aĉet'is
subaĉeto	sub'aĉet'o
subaĉeton	sub'aĉet'o'n
subaĉetaĵoj	sub'aĉet'aĵ'o'j
subaĉetaĵojn	sub'aĉet'aĵ'o'j'n
subaĉetita	sub'aĉet'it'a
subaĉetitaj	sub'aĉet'it'a'j
subaĵo	sub'aĵ'o
subaĵoj	sub'aĵ'o'j
subaĵon	sub'aĵ'o'n
subakva	sub'akv'a
subakvaj	sub'akv'a'j
subakvajn	sub'akv'a'j'n
subakvan	sub'akv'a'n
subakve	sub'akv'e
subakvigi	sub'akv'ig'i
subakvigis	sub'akv'ig'is
subakvigita	sub'akv'ig'it'a
subakviĝas	sub'akv'iĝ'as
subakviĝi	sub'akv'iĝ'i
subakviĝis	sub'akv'iĝ'is
subakviĝo	sub'akv'iĝ'o
subaro	sub'ar'o
subaroj	sub'ar'o'j
subarojn	sub'ar'o'j'n
subaron	sub'ar'o'n
subaraknoida	sub'araknoid'a
subarkta	sub'arkt'a
subarktaj	sub'arkt'a'j
subatoma	sub'atom'a
subatomaj	sub'atom'a'j
subaŭskultas	sub'aŭskult'as
subaŭskulti	sub'aŭskult'i
subaŭskultis	sub'aŭskult'is
subaŭskultado	sub'aŭskult'ad'o
subaŭskultanto	sub'aŭskult'ant'o
subbrake	sub'brak'e
subbrako	sub'brak'o
subĉemizo	sub'ĉemiz'o
subĉiela	sub'ĉiel'a
subĉielaj	sub'ĉiel'a'j
subĉielajn	sub'ĉiel'a'j'n
subĉielan	sub'ĉiel'a'n
subĉiele	sub'ĉiel'e
subĉielaĵo	sub'ĉiel'aĵ'o
subdiakono	sub'diakon'o
subdialektoj	sub'dialekt'o'j
subdisciplinoj	sub'disciplin'o'j
subdistrikta	sub'distrikt'a
subdistrikto	sub'distrikt'o
subdividas	sub'divid'as
subdividi	sub'divid'i
subdivido	sub'divid'o
subdividoj	sub'divid'o'j
subdividojn	sub'divid'o'j'n
subdividon	sub'divid'o'n
subdividiĝas	sub'divid'iĝ'as
subdividita	sub'divid'it'a
subdividitaj	sub'divid'it'a'j
subdominanto	sub'domin'ant'o
subeniris	sub'e'n'ir'is
subesta	sub'est'a
subestaj	sub'est'a'j
subestajn	sub'est'a'j'n
subestan	sub'est'a'n
subestas	sub'est'as
subestro	sub'estr'o
subevoluo	sub'evolu'o
subevoluinta	sub'evolu'int'a
subevoluintaj	sub'evolu'int'a'j
subfako	sub'fak'o
subfakoj	sub'fak'o'j
subfamilio	sub'famili'o
subfamilioj	sub'famili'o'j
subfelo	sub'fel'o
subflugiloj	sub'flug'il'o'j
subformo	sub'form'o
subfosa	sub'fos'a
subfosaj	sub'fos'a'j
subfosas	sub'fos'as
subfosi	sub'fos'i
subfosis	sub'fos'is
subfosos	sub'fos'os
subfosus	sub'fos'us
subfosado	sub'fos'ad'o
subfosante	sub'fos'ant'e
subfosita	sub'fos'it'a
subfositaj	sub'fos'it'a'j
subfrazo	sub'fraz'o
subfrazoj	sub'fraz'o'j
subfrazojn	sub'fraz'o'j'n
subfrazon	sub'fraz'o'n
subgenro	sub'genr'o
subgrafeo	sub'grafe'o
subgrunda	sub'grund'a
subgrundaj	sub'grund'a'j
subgrunde	sub'grund'e
subgrundo	sub'grund'o
subgrupo	sub'grup'o
subgrupoj	sub'grup'o'j
subgrupojn	sub'grup'o'j'n
subgrupon	sub'grup'o'n
subĝenro	sub'ĝenr'o
subĝenroj	sub'ĝenr'o'j
subĝenrojn	sub'ĝenr'o'j'n
subĝenron	sub'ĝenr'o'n
subigas	sub'ig'as
subigi	sub'ig'i
subigis	sub'ig'is
subigo	sub'ig'o
subigon	sub'ig'o'n
subigado	sub'ig'ad'o
subigante	sub'ig'ant'e
subigita	sub'ig'it'a
subigitaj	sub'ig'it'a'j
subiĝas	sub'iĝ'as
subiĝi	sub'iĝ'i
subiĝis	sub'iĝ'is
subiĝo	sub'iĝ'o
subiras	sub'ir'as
subiri	sub'ir'i
subiris	sub'ir'is
subiro	sub'ir'o
subiros	sub'ir'os
subiranta	sub'ir'ant'a
subkampo	sub'kamp'o
subkampoj	sub'kamp'o'j
subkategorio	sub'kategori'o
subkategorioj	sub'kategori'o'j
subkategoriojn	sub'kategori'o'j'n
subklaso	sub'klas'o
subklasoj	sub'klas'o'j
subklasojn	sub'klas'o'j'n
subkolonelo	sub'kolonel'o
subkomisiono	sub'komision'o
subkomitato	sub'komitat'o
subkomitatoj	sub'komitat'o'j
subkomponentoj	sub'komponent'o'j
subkomprenas	sub'kompren'as
subkompreni	sub'kompren'i
subkomprenis	sub'kompren'is
subkomprenata	sub'kompren'at'a
subkomprenataj	sub'kompren'at'a'j
subkomprenigas	sub'kompren'ig'as
subkomprenita	sub'kompren'it'a
subkonscia	sub'konsci'a
subkonsciaj	sub'konsci'a'j
subkonscie	sub'konsci'e
subkonscio	sub'konsci'o
subkonscion	sub'konsci'o'n
subkonstruaĵo	sub'konstru'aĵ'o
subkonstruaĵoj	sub'konstru'aĵ'o'j
subkontinento	sub'kontinent'o
subkontinenton	sub'kontinent'o'n
subkontraktado	sub'kontrakt'ad'o
subkontraktitaj	sub'kontrakt'it'a'j
subkorteksaj	sub'korteks'a'j
subkreskaĵaro	sub'kresk'aĵ'ar'o
subkulturo	sub'kultur'o
subkulturoj	sub'kultur'o'j
subkuŝanta	sub'kuŝ'ant'a
submara	sub'mar'a
submaraj	sub'mar'a'j
submarajn	sub'mar'a'j'n
submaran	sub'mar'a'n
submarŝipa	sub'mar'ŝip'a
submarŝipo	sub'mar'ŝip'o
submarŝipoj	sub'mar'ŝip'o'j
submarŝipojn	sub'mar'ŝip'o'j'n
submarŝipon	sub'mar'ŝip'o'n
submastro	sub'mastr'o
submetas	sub'met'as
submeti	sub'met'i
submetis	sub'met'is
submetos	sub'met'os
submetu	sub'met'u
submetado	sub'met'ad'o
submetadoj	sub'met'ad'o'j
submetadon	sub'met'ad'o'n
submetante	sub'met'ant'e
submetata	sub'met'at'a
submetataj	sub'met'at'a'j
submetiĝas	sub'met'iĝ'as
submetiĝi	sub'met'iĝ'i
submetiĝis	sub'met'iĝ'is
submetiĝo	sub'met'iĝ'o
submetiĝon	sub'met'iĝ'o'n
submetiĝos	sub'met'iĝ'os
submetiĝu	sub'met'iĝ'u
submetiĝema	sub'met'iĝ'em'a
submetiĝemaj	sub'met'iĝ'em'a'j
submetinte	sub'met'int'e
submetita	sub'met'it'a
submetitaj	sub'met'it'a'j
submetitajn	sub'met'it'a'j'n
submetite	sub'met'it'e
subministro	sub'ministr'o
subministrojn	sub'ministr'o'j'n
submondo	sub'mond'o
submondon	sub'mond'o'n
submunicipoj	sub'municip'o'j
subnacia	sub'naci'a
subnaciaj	sub'naci'a'j
subnobelaro	sub'nobel'ar'o
subnutrado	sub'nutr'ad'o
subnutradon	sub'nutr'ad'o'n
subnutrita	sub'nutr'it'a
suboficiro	sub'oficir'o
suboficiroj	sub'oficir'o'j
subokula	sub'okul'a
suborbita	sub'orbit'a
subordo	sub'ord'o
subordigi	sub'ord'ig'i
subordigo	sub'ord'ig'o
subordigita	sub'ord'ig'it'a
subordigitaj	sub'ord'ig'it'a'j
subpartoj	sub'part'o'j
subpasejo	sub'pas'ej'o
subpasejoj	sub'pas'ej'o'j
subpluve	sub'pluv'e
subpopulacioj	sub'populaci'o'j
subporta	sub'port'a
subportan	sub'port'a'n
subprema	sub'prem'a
subpremaj	sub'prem'a'j
subpremajn	sub'prem'a'j'n
subpreman	sub'prem'a'n
subpremas	sub'prem'as
subpremi	sub'prem'i
subpremis	sub'prem'is
subpremo	sub'prem'o
subpremoj	sub'prem'o'j
subpremon	sub'prem'o'n
subpremu	sub'prem'u
subpremado	sub'prem'ad'o
subpremadon	sub'prem'ad'o'n
subpremanta	sub'prem'ant'a
subpremante	sub'prem'ant'e
subpremanto	sub'prem'ant'o
subpremantoj	sub'prem'ant'o'j
subpremata	sub'prem'at'a
subpremataj	sub'prem'at'a'j
subprematoj	sub'prem'at'o'j
subpremita	sub'prem'it'a
subpremitaj	sub'prem'it'a'j
subprogramo	sub'program'o
subprogramoj	sub'program'o'j
subpropozicio	sub'propozici'o
subpropozicioj	sub'propozici'o'j
subprovinco	sub'provinc'o
subpugo	sub'pug'o
subregiono	sub'region'o
subregionoj	sub'region'o'j
subregionojn	sub'region'o'j'n
subreprezentitaj	sub'reprezent'it'a'j
subridis	sub'rid'is
subrido	sub'rid'o
subridante	sub'rid'ant'e
subsahara	sub'sahar'a
subsaharaj	sub'sahar'a'j
subsaharan	sub'sahar'a'n
subsekcio	sub'sekci'o
subsekcioj	sub'sekci'o'j
subsekciojn	sub'sekci'o'j'n
subsistemo	sub'sistem'o
subsistemoj	sub'sistem'o'j
subsistemojn	sub'sistem'o'j'n
subskriba	sub'skrib'a
subskriban	sub'skrib'a'n
subskribas	sub'skrib'as
subskribi	sub'skrib'i
subskribis	sub'skrib'is
subskribo	sub'skrib'o
subskriboj	sub'skrib'o'j
subskribojn	sub'skrib'o'j'n
subskribon	sub'skrib'o'n
subskribos	sub'skrib'os
subskribu	sub'skrib'u
subskribus	sub'skrib'us
subskribado	sub'skrib'ad'o
subskribante	sub'skrib'ant'e
subskribintaj	sub'skrib'int'a'j
subskribinto	sub'skrib'int'o
subskribintoj	sub'skrib'int'o'j
subskribita	sub'skrib'it'a
subskribitaj	sub'skrib'it'a'j
subskribitan	sub'skrib'it'a'n
subsona	sub'son'a
subsonaj	sub'son'a'j
subspaco	sub'spac'o
subspecoj	sub'spec'o'j
subspecio	sub'speci'o
subspecioj	sub'speci'o'j
subspeciojn	sub'speci'o'j'n
subspecion	sub'speci'o'n
substacioj	sub'staci'o'j
substrekas	sub'strek'as
substreki	sub'strek'i
substrekis	sub'strek'is
substreko	sub'strek'o
substreku	sub'strek'u
substrekado	sub'strek'ad'o
substrekante	sub'strek'ant'e
substrekita	sub'strek'it'a
substrekitaj	sub'strek'it'a'j
substrukturo	sub'struktur'o
substrukturoj	sub'struktur'o'j
subsune	sub'sun'e
subsurfaca	sub'surfac'a
subŝtata	sub'ŝtat'a
subŝtataj	sub'ŝtat'a'j
subŝtato	sub'ŝtat'o
subŝtatoj	sub'ŝtat'o'j
subŝtofo	sub'ŝtof'o
subŝtofon	sub'ŝtof'o'n
subtaksas	sub'taks'as
subtaksi	sub'taks'i
subtaksis	sub'taks'is
subtakso	sub'taks'o
subtaksu	sub'taks'u
subtaksata	sub'taks'at'a
subtaksita	sub'taks'it'a
subtaksitaj	sub'taks'it'a'j
subtaso	sub'tas'o
subtavolo	sub'tavol'o
subtegmenta	sub'tegment'a
subtegmento	sub'tegment'o
subtegmentoj	sub'tegment'o'j
subtegmenton	sub'tegment'o'n
subtegmentejo	sub'tegment'ej'o
subteksto	sub'tekst'o
subtekstoj	sub'tekst'o'j
subtekstojn	sub'tekst'o'j'n
subtekstigis	sub'tekst'ig'is
subtekstigado	sub'tekst'ig'ad'o
subtekstigita	sub'tekst'ig'it'a
subtekstigitaj	sub'tekst'ig'it'a'j
subtemo	sub'tem'o
subtemoj	sub'tem'o'j
subtena	sub'ten'a
subtenaj	sub'ten'a'j
subtenajn	sub'ten'a'j'n
subtenan	sub'ten'a'n
subtenas	sub'ten'as
subtene	sub'ten'e
subteni	sub'ten'i
subtenis	sub'ten'is
subteno	sub'ten'o
subtenoj	sub'ten'o'j
subtenojn	sub'ten'o'j'n
subtenon	sub'ten'o'n
subtenos	sub'ten'os
subtenu	sub'ten'u
subtenus	sub'ten'us
subtenadi	sub'ten'ad'i
subtenadis	sub'ten'ad'is
subtenado	sub'ten'ad'o
subtenadon	sub'ten'ad'o'n
subtenanta	sub'ten'ant'a
subtenantaj	sub'ten'ant'a'j
subtenantan	sub'ten'ant'a'n
subtenante	sub'ten'ant'e
subtenanto	sub'ten'ant'o
subtenantoj	sub'ten'ant'o'j
subtenantojn	sub'ten'ant'o'j'n
subtenanton	sub'ten'ant'o'n
subtenata	sub'ten'at'a
subtenataj	sub'ten'at'a'j
subtenatan	sub'ten'at'a'n
subtenate	sub'ten'at'e
subtenemuloj	sub'ten'em'ul'o'j
subtenilo	sub'ten'il'o
subteniloj	sub'ten'il'o'j
subteninda	sub'ten'ind'a
subtenita	sub'ten'it'a
subtenitaj	sub'ten'it'a'j
subtenstrukturoj	sub'ten'struktur'o'j
subtera	sub'ter'a
subteraj	sub'ter'a'j
subterajn	sub'ter'a'j'n
subteran	sub'ter'a'n
subtere	sub'ter'e
subteren	sub'ter'e'n
subtero	sub'ter'o
subteraĵo	sub'ter'aĵ'o
subteraĵoj	sub'ter'aĵ'o'j
subteraĵon	sub'ter'aĵ'o'n
subterejo	sub'ter'ej'o
subtipo	sub'tip'o
subtipoj	sub'tip'o'j
subtitolo	sub'titol'o
subtitoloj	sub'titol'o'j
subtitolojn	sub'titol'o'j'n
subtitolon	sub'titol'o'n
subtropika	sub'tropik'a
subtropikaj	sub'tropik'a'j
subtropikan	sub'tropik'a'n
subtropikoj	sub'tropik'o'j
subturejo	sub'tur'ej'o
subulo	sub'ul'o
subuloj	sub'ul'o'j
subulojn	sub'ul'o'j'n
subulon	sub'ul'o'n
subunuo	sub'unu'o
subunuoj	sub'unu'o'j
suburbo	sub'urb'o
subventro	sub'ventr'o
subventron	sub'ventr'o'n
subvesto	sub'vest'o
subvestoj	sub'vest'o'j
subvestojn	sub'vest'o'j'n
subveston	sub'vest'o'n
subvortoj	sub'vort'o'j
subvostaj	sub'vost'a'j
subvosto	sub'vost'o
subalternaj	subaltern'a'j
subalternuloj	subaltern'ul'o'j
subdukcio	subdukci'o
subita	subit'a
subitaj	subit'a'j
subitajn	subit'a'j'n
subitan	subit'a'n
subite	subit'e
subito	subit'o
subiteco	subit'ec'o
subitmorto	subit'mort'o
subjekta	subjekt'a
subjekto	subjekt'o
subjektoj	subjekt'o'j
subjektojn	subjekt'o'j'n
subjekton	subjekt'o'n
subjektiva	subjektiv'a
subjektivaj	subjektiv'a'j
subjektivajn	subjektiv'a'j'n
subjektivan	subjektiv'a'n
subjektive	subjektiv'e
subjektiveco	subjektiv'ec'o
subjektivecon	subjektiv'ec'o'n
subjektivismo	subjektiv'ism'o
subjunkcio	subjunkci'o
subjunkcioj	subjunkci'o'j
subjunktivo	subjunktiv'o
subjunktivon	subjunktiv'o'n
sublima	sublim'a
subliman	sublim'a'n
sublimo	sublim'o
sublimado	sublim'ad'o
subsidiareco	subsidiar'ec'o
substanca	substanc'a
substancaj	substanc'a'j
substancan	substanc'a'n
substance	substanc'e
substanco	substanc'o
substancoj	substanc'o'j
substancojn	substanc'o'j'n
substancon	substanc'o'n
substantiva	substantiv'a
substantivaj	substantiv'a'j
substantivajn	substantiv'a'j'n
substantivan	substantiv'a'n
substantive	substantiv'e
substantivo	substantiv'o
substantivoj	substantiv'o'j
substantivojn	substantiv'o'j'n
substantivon	substantiv'o'n
substitui	substitu'i
substrato	substrat'o
substratoj	substrat'o'j
substratojn	substrat'o'j'n
substraton	substrat'o'n
subtila	subtil'a
subtilaj	subtil'a'j
subtilajn	subtil'a'j'n
subtilan	subtil'a'n
subtile	subtil'e
subtilaĵoj	subtil'aĵ'o'j
subtileco	subtil'ec'o
subtrahas	subtrah'as
subtrahi	subtrah'i
subtrahis	subtrah'is
subtraho	subtrah'o
subtrahante	subtrah'ant'e
subtrahita	subtrah'it'a
subtrahitaj	subtrah'it'a'j
subvencias	subvenci'as
subvencii	subvenci'i
subvenciis	subvenci'is
subvencio	subvenci'o
subvencioj	subvenci'o'j
subvenciojn	subvenci'o'j'n
subvencion	subvenci'o'n
subvenciado	subvenci'ad'o
subvenciata	subvenci'at'a
subvenciita	subvenci'it'a
subvenciitaj	subvenci'it'a'j
suĉas	suĉ'as
suĉi	suĉ'i
suĉis	suĉ'is
suĉo	suĉ'o
suĉado	suĉ'ad'o
suĉante	suĉ'ant'e
suĉinfano	suĉ'infan'o
suĉinfanoj	suĉ'infan'o'j
suĉita	suĉ'it'a
suda	sud'a
sudaj	sud'a'j
sudajn	sud'a'j'n
sudan	sud'a'n
sude	sud'e
suden	sud'e'n
sudo	sud'o
sudon	sud'o'n
sudaazianaj	sud'a'azi'an'a'j
sudafrika	sud'afrik'a
sudafrikaj	sud'afrik'a'j
sudafrikan	sud'afrik'a'n
sudafriko	sud'afrik'o
sudafrikon	sud'afrik'o'n
sudafrikano	sud'afrik'an'o
sudafrikanoj	sud'afrik'an'o'j
sudamerika	sud'amerik'a
sudamerikaj	sud'amerik'a'j
sudameriko	sud'amerik'o
sudamerikon	sud'amerik'o'n
sudamerikano	sud'amerik'an'o
sudamerikanoj	sud'amerik'an'o'j
sudana	sud'an'a
sudanaj	sud'an'a'j
sudano	sud'an'o
sudanoj	sud'an'o'j
sudanon	sud'an'o'n
sudanglo	sud'angl'o
sudaŭstralio	sud'aŭstrali'o
sudazia	sud'azi'a
sudaziaj	sud'azi'a'j
sudazio	sud'azi'o
sudbordo	sud'bord'o
sudcentra	sud'centr'a
sudĉina	sud'ĉin'a
sudeŭropaj	sud'eŭrop'a'j
sudeŭropo	sud'eŭrop'o
sudfranca	sud'franc'a
sudgeorgio	sud'georgi'o
sudgermana	sud'german'a
sudhemisfera	sud'hemisfer'a
sudkorea	sud'kore'a
sudkoreaj	sud'kore'a'j
sudkoreio	sud'kore'i'o
sudkoreion	sud'kore'i'o'n
sudokcidenta	sud'okcident'a
sudokcidentaj	sud'okcident'a'j
sudokcidentan	sud'okcident'a'n
sudokcidente	sud'okcident'e
sudokcidenten	sud'okcident'e'n
sudokcidento	sud'okcident'o
sudokcidentazia	sud'okcident'azi'a
sudokcidentaziaj	sud'okcident'azi'a'j
sudorienta	sud'orient'a
sudorientaj	sud'orient'a'j
sudorientan	sud'orient'a'n
sudoriente	sud'orient'e
sudorienten	sud'orient'e'n
sudoriento	sud'orient'o
sudorientazia	sud'orient'azi'a
sudorientaziaj	sud'orient'azi'a'j
sudorientazio	sud'orient'azi'o
sudosetio	sud'oset'i'o
sudsuda	sud'sud'a
sudsudano	sud'sudan'o
sudŝtatoj	sud'ŝtat'o'j
sudŝtatojn	sud'ŝtat'o'j'n
sudtirolo	sud'tirol'o
suduloj	sud'ul'o'j
sudana	sudan'a
sudanaj	sudan'a'j
sudano	sudan'o
sudanoj	sudan'o'j
sudanon	sudan'o'n
sufera	sufer'a
suferas	sufer'as
sufere	sufer'e
suferi	sufer'i
suferis	sufer'is
sufero	sufer'o
suferoj	sufer'o'j
suferojn	sufer'o'j'n
suferon	sufer'o'n
suferos	sufer'os
suferu	sufer'u
suferus	sufer'us
suferadis	sufer'ad'is
suferado	sufer'ad'o
suferadon	sufer'ad'o'n
suferanta	sufer'ant'a
suferantaj	sufer'ant'a'j
suferantajn	sufer'ant'a'j'n
suferantan	sufer'ant'a'n
